ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
135	"ENSG00000121957"	NA	chr1	+	108882475	108882625	108877255	108877774	108884820	108885578	135	4,2,7	11,12,5	16,15,14	4,3,4	249	99	3.3694549173e-06	2.590268467674375e-05	0.126,0.062,0.358	0.614,0.665,0.582	-0.438
137	"ENSG00000143799"	NA	chr1	-	226377107	226377303	226374225	226376067	226379141	226379274	137	354,352,336	16,19,13	665,692,730	7,8,7	295	99	1.1602207084e-08	1.18922622611e-07	0.881,0.861,0.897	0.97,0.967,0.972	-0.09
138	"ENSG00000134644"	NA	chr1	-	30965981	30966380	30964673	30964910	30967098	30967310	138	14,9,14	141,126,153	18,16,32	114,152,136	498	99	0.00530452790234	0.024621016301427174	0.019,0.014,0.018	0.03,0.02,0.045	-0.015
139	"ENSG00000143502"	NA	chr1	-	223268501	223268675	223264406	223264818	223276649	223276860	139	166,130,124	4890,4774,4829	304,311,259	2337,2429,2383	273	99	0	0.0	0.012,0.01,0.009	0.045,0.044,0.038	-0.032
140	"ENSG00000162571"	NA	chr1	+	1180033	1180340	1179656	1179853	1180482	1180884	140	5,4,0	537,516,510	5,3,0	261,240,285	406	99	1	1.0	0.002,0.002,0.0	0.005,0.003,0.0	-0.001
141	"ENSG00000134215"	NA	chr1	-	107862683	107862754	107820785	107820896	107874900	107875017	141	259,235,292	1,1,2	250,268,278	4,2,5	170	99	0.171276949892	0.46815699637146674	0.993,0.993,0.988	0.973,0.987,0.97	0.015
142	"ENSG00000164007"	NA	chr1	-	42738228	42738313	42733092	42736030	42738420	42738585	142	74,81,53	4,5,5	142,148,179	0,5,2	184	99	0.000851915472015	0.00523928015289225	0.909,0.897,0.851	1.0,0.941,0.98	-0.088
143	"ENSG00000135749"	NA	chr1	-	233125903	233126206	233112844	233112966	233134783	233135190	143	1122,1123,1210	2,3,2	2460,2393,2349	1,0,1	402	99	1	1.0	0.993,0.989,0.993	0.998,1.0,0.998	-0.007
144	"ENSG00000189195"	NA	chr1	+	92175062	92175249	92171398	92171460	92176828	92177546	144	6591,6745,6735	1,0,2	13553,13267,13038	0,0,1	286	99	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0	-0.0
146	"ENSG00000260971"	NA	chr1	-	56165782	56166159	56161117	56161167	56168238	56168490	146	825,758,835	213,217,217	778,737,758	212,195,212	476	99	0.874806917457	1.0	0.446,0.421,0.445	0.433,0.44,0.426	0.004
147	"ENSG00000021852"	NA	chr1	-	56949554	56949752	56945820	56946061	56952047	56952180	147	0,7,2	7,10,14	1,2,3	13,8,7	297	99	0.699213435964	1.0	0.0,0.189,0.045	0.025,0.077,0.125	0.002
148	"ENSG00000155816"	NA	chr1	+	240285230	240285523	240257944	240258032	240294821	240294883	148	0,0,2	60,58,69	0,0,0	25,32,30	392	99	1	1.0	0.0,0.0,0.007	0.0,0.0,0.0	0.002
149	"ENSG00000143801"	NA	chr1	+	226888090	226888158	226885460	226885679	226888828	226891365	149	62,75,53	7,9,10	67,57,70	7,4,3	167	99	0.0484152885609	0.17514942626443236	0.84,0.832,0.759	0.85,0.894,0.933	-0.082
150	"ENSG00000143340"	NA	chr1	+	179807797	179807888	179743290	179743423	179812109	179812131	150	0,2,0	3,2,1	0,0,3	8,14,8	190	99	0.659383112926	1.0	0.0,0.343,0.0	0.0,0.0,0.163	0.06
151	"ENSG00000236648"	NA	chr1	+	17718559	17718791	17717624	17717744	17721679	17722353	151	0,0,0	4,0,2	0,2,0	1,2,3	331	99	1	1.0	0.0,NA,0.0	0.0,0.23,0.0	-0.077
152	"ENSG00000132694"	NA	chr1	-	156942689	156942780	156941863	156941989	156943934	156944102	152	253,243,261	1,1,1	233,220,221	0,0,0	190	99	1	1.0	0.992,0.992,0.993	1.0,1.0,1.0	-0.008
153	"ENSG00000225334"	NA	chr1	+	224772639	224773053	224766323	224767153	224773172	224773350	153	5,10,17	38,30,32	3,2,7	25,19,29	513	99	0.033592231983	0.12520741011845454	0.025,0.06,0.093	0.023,0.02,0.045	0.03
154	"ENSG00000058453"	NA	chr1	+	16946258	16946405	16945461	16945606	16946760	16946991	154	47,53,45	2,4,7	47,45,47	1,2,6	246	99	0.404416971703	0.9297810751302616	0.904,0.842,0.721	0.95,0.901,0.759	-0.048
155	"ENSG00000070886"	NA	chr1	+	22586479	22586635	22576216	22576880	22588870	22589621	155	66,71,54	0,1,0	141,185,174	1,0,0	255	99	1	1.0	1.0,0.965,1.0	0.982,1.0,1.0	-0.006
156	"ENSG00000234379"	NA	chr1	+	45531346	45531646	45530926	45531040	45531955	45532139	156	2,1,1	102,84,111	1,2,2	86,93,94	399	99	1	1.0	0.005,0.003,0.002	0.003,0.005,0.005	-0.001
157	"ENSG00000225006"	NA	chr1	+	188529195	188529377	188508537	188508665	188535755	188535858	157	6,3,19	351,392,307	9,16,6	306,345,342	281	99	1	1.0	0.006,0.003,0.021	0.01,0.016,0.006	-0.001
158	"ENSG00000284745"	NA	chr1	-	2961671	2962100	2960657	2961585	2963263	2963415	158	45,42,31	1,7,2	35,15,36	11,10,8	528	99	0.00147920873297	0.008270121552514092	0.894,0.529,0.744	0.374,0.22,0.458	0.372
159	"ENSG00000198691"	NA	chr1	-	94080477	94080718	94079321	94079461	94083351	94083441	159	24,16,11	24,22,13	11,16,27	14,11,15	340	99	0.168606467713	0.4660358545775056	0.226,0.175,0.198	0.186,0.298,0.344	-0.076
160	"ENSG00000269713"	NA	chr1	-	149056511	149056620	149052185	149055899	149057334	149057507	160	6,13,5	0,0,1	4,16,27	0,0,0	208	99	1	1.0	1.0,1.0,0.704	1.0,1.0,1.0	-0.099
161	"ENSG00000269713"	NA	chr1	-	149058163	149058215	149057334	149057507	149058924	149059097	161	1,5,3	0,5,0	4,3,11	0,0,39	151	99	0.863257837008	1.0	1.0,0.396,1.0	1.0,1.0,0.156	0.08
162	"ENSG00000008128"	NA	chr1	-	1709478	1709640	1709037	1709133	1712263	1712427	162	10,11,12	196,288,283	36,20,32	135,162,153	261	99	1.45716771982e-12	2.3897550605048e-11	0.019,0.014,0.016	0.092,0.045,0.074	-0.054
163	"ENSG00000008128"	NA	chr1	-	1712263	1712427	1709478	1709640	1716345	1716478	163	173,212,184	0,2,2	205,144,187	0,0,0	263	99	0.95100740279	1.0	1.0,0.976,0.972	1.0,1.0,1.0	-0.017
164	"ENSG00000196482"	NA	chr1	-	217000252	217000724	216985757	216985817	217076851	217076931	164	1210,1197,1173	1,0,0	2303,2485,2393	1,0,0	571	99	1	1.0	0.995,1.0,1.0	0.998,1.0,1.0	-0.001
165	"ENSG00000270629"	NA	chr1	-	148640015	148640089	148615690	148615950	148679461	148679742	165	23,37,19	1,0,2	17,29,27	0,1,0	173	99	0.87980660497	1.0	0.929,1.0,0.845	1.0,0.943,1.0	-0.056
166	"ENSG00000186094"	NA	chr1	-	48583869	48587166	48539641	48539738	48590832	48590985	166	40,59,57	12,8,12	42,77,94	4,7,3	3396	99	0.00449559674884	0.02168464314146353	0.089,0.177,0.122	0.234,0.243,0.477	-0.189
167	"ENSG00000226601"	NA	chr1	+	223186830	223186948	223181143	223181292	223187934	223188154	167	16,27,22	5,6,13	2,13,7	11,7,4	217	99	0.0282912272077	0.10874440457959689	0.593,0.672,0.436	0.077,0.459,0.444	0.24
168	"ENSG00000142700"	NA	chr1	-	50420977	50421632	50417549	50419734	50423115	50423443	168	1,0,11	29,31,17	4,6,10	17,8,15	754	99	0.00503165008371	0.023803575396012692	0.005,0.0,0.078	0.03,0.09,0.08	-0.039
169	"ENSG00000159023"	NA	chr1	+	29058588	29058645	29053103	29054514	29058810	29058852	169	1021,1087,1077	8,6,4	2189,2154,2198	2,1,2	156	99	1	1.0	0.988,0.991,0.994	0.999,0.999,0.999	-0.008
170	"ENSG00000221978"	NA	chr1	-	1387953	1388743	1387776	1387869	1388949	1389047	170	35,22,55	308,351,357	39,77,59	170,174,169	889	99	3.26960680752e-13	6.1871021126916924e-12	0.012,0.007,0.017	0.025,0.047,0.037	-0.024
171	"ENSG00000121310"	NA	chr1	-	52917543	52917615	52915130	52915292	52921397	52921919	171	3,7,3	172,200,156	3,1,1	196,171,178	171	99	0.80470403243	1.0	0.01,0.02,0.011	0.009,0.003,0.003	0.009
172	"ENSG00000126709"	NA	chr1	-	27669220	27669426	27668457	27668535	27672122	27672212	172	79,90,85	0,3,0	69,44,70	0,0,1	305	99	0.864155733476	1.0	1.0,0.907,1.0	1.0,1.0,0.958	-0.017
173	"ENSG00000143341"	NA	chr1	+	186137497	186137668	186136667	186136937	186137801	186137972	173	4,4,4	10,10,10	5,11,7	5,6,9	270	99	0.0170607621229	0.07032766857073	0.128,0.128,0.128	0.268,0.402,0.222	-0.169
174	"ENSG00000291014"	NA	chr1	+	86649133	86649298	86648304	86648575	86650157	86650397	174	62,55,81	163,164,141	48,68,47	360,304,330	264	99	6.57985887997e-11	8.519185707750632e-10	0.125,0.112,0.177	0.048,0.077,0.051	0.079
175	"ENSG00000117620"	NA	chr1	+	99993042	99993098	99974970	99975069	99993536	99993745	175	8,6,7	2,2,1	2,3,5	3,3,5	155	99	0.00426236119681	0.0209708170883052	0.719,0.657,0.817	0.299,0.39,0.39	0.371
176	"ENSG00000117620"	NA	chr1	+	100007033	100009576	99999260	99999415	100011364	100011533	176	122,103,136	1,1,0	142,85,150	0,0,0	2642	99	1	1.0	0.821,0.794,1.0	1.0,1.0,1.0	-0.128
177	"ENSG00000117620"	NA	chr1	+	100011364	100011533	100007033	100009576	100015301	100015697	177	3,4,2	6,3,0	3,1,5	5,3,2	268	99	0.656556785756	1.0	0.156,0.33,1.0	0.181,0.11,0.48	0.238
178	"ENSG00000117620"	NA	chr1	+	100015301	100015697	100011364	100011533	100017681	100017881	178	15,15,10	3,0,2	12,23,10	1,2,3	495	99	0.749720662657	1.0	0.5,1.0,0.5	0.706,0.697,0.4	0.066
179	"ENSG00000203710"	NA	chr1	+	207565837	207565923	207564131	207564234	207567823	207568042	179	265,277,267	39,34,21	535,536,538	13,16,19	185	99	4.37871960912e-12	6.732281399022e-11	0.784,0.813,0.872	0.957,0.947,0.938	-0.124
180	"ENSG00000203710"	NA	chr1	+	207567823	207568042	207565837	207565923	207569058	207569238	180	56,50,50	240,252,249	18,21,25	480,254,497	318	99	2.22044604925e-16	6.069219201283334e-15	0.068,0.058,0.059	0.012,0.025,0.015	0.044
181	"ENSG00000227671"	NA	chr1	-	247199360	247199459	247189850	247191012	247200067	247200193	181	1,2,4	501,447,445	0,0,1	866,861,904	198	99	1	1.0	0.001,0.002,0.004	0.0,0.0,0.001	0.002
182	"ENSG00000131584"	NA	chr1	-	1303161	1305929	1302921	1302975	1307071	1307156	182	2,4,0	304,332,309	0,0,4	158,161,155	2867	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.001	-0.0
183	"ENSG00000134258"	NA	chr1	-	117173186	117173266	117170106	117170171	117203617	117203836	183	6,9,2	1,0,1	11,16,16	0,0,0	179	99	1	1.0	0.768,1.0,0.525	1.0,1.0,1.0	-0.236
184	"ENSG00000156875"	NA	chr1	+	100080495	100080659	100078450	100078548	100082002	100083377	184	13,13,17	682,642,641	12,14,8	1301,1298,1286	263	99	1	1.0	0.007,0.008,0.01	0.003,0.004,0.002	0.005
185	"ENSG00000143543"	NA	chr1	-	153975816	153975905	153974268	153974835	153976692	153977013	185	687,733,663	2,3,0	699,689,721	2,4,1	188	99	1	1.0	0.995,0.992,1.0	0.995,0.989,0.997	0.002
186	"ENSG00000143543"	NA	chr1	-	153976692	153977013	153975816	153975905	153977169	153977674	186	1315,1390,1237	14,7,13	1277,1314,1360	9,10,15	420	99	0.967711740948	1.0	0.957,0.979,0.957	0.971,0.969,0.955	-0.001
187	"ENSG00000153936"	NA	chr1	+	86958439	86958507	86956483	86956572	86974911	86975043	187	5,6,0	0,4,0	2,2,5	2,2,2	167	99	1	1.0	1.0,0.471,NA	0.372,0.372,0.597	0.289
188	"ENSG00000232184"	NA	chr1	-	243739522	243739613	243702856	243703045	243740712	243740821	188	2,1,5	115,59,87	1,2,1	132,99,88	190	99	0.656789175231	1.0	0.009,0.009,0.029	0.004,0.01,0.006	0.009
189	"ENSG00000162891"	NA	chr1	+	206866298	206866364	206865808	206866011	206866483	206866636	189	3,2,1	10,1,6	0,3,4	2,3,1	165	99	0.346067516236	0.8428971187530298	0.153,0.545,0.091	0.0,0.375,0.706	-0.097
190	"ENSG00000224209"	NA	chr1	-	63164243	63164355	63162546	63163648	63169927	63170424	190	2,1,5	450,407,398	7,5,2	256,213,221	211	99	1	1.0	0.002,0.001,0.006	0.013,0.011,0.004	-0.006
191	"ENSG00000157184"	NA	chr1	+	53207474	53211545	53199776	53204315	53212780	53212816	191	34,22,28	9,22,17	68,59,59	6,5,14	4170	99	8.57570296664e-07	7.2107573497292e-06	0.082,0.023,0.038	0.212,0.219,0.091	-0.126
192	"ENSG00000197273"	NA	chr1	-	42163402	42163610	42162689	42162970	42164637	42164745	192	128,180,120	46,27,34	279,330,251	8,32,10	307	99	9.73985325725e-09	1.0417408266449999e-07	0.473,0.683,0.532	0.918,0.769,0.89	-0.296
193	"ENSG00000132128"	NA	chr1	-	46296741	46297633	46285004	46286499	46298283	46300780	193	2062,2068,2021	0,0,0	2054,2132,2089	0,1,1	991	99	1	1.0	1.0,1.0,1.0	1.0,0.995,0.995	0.003
194	"ENSG00000117600"	NA	chr1	+	99300908	99300966	99298863	99299230	99301723	99301897	194	2970,2968,2905	59,62,75	2926,2894,2799	57,70,63	157	99	0.984946850301	1.0	0.969,0.968,0.961	0.97,0.963,0.966	-0.0
195	"ENSG00000228044"	NA	chr1	+	234674095	234674126	234660133	234660924	234680810	234681122	195	230,189,195	98,113,102	103,89,93	102,99,101	130	99	7.19259101167e-08	6.553249588410444e-07	0.641,0.56,0.593	0.435,0.406,0.412	0.18
196	"ENSG00000116983"	NA	chr1	-	39683936	39684152	39678647	39682733	39684441	39684611	196	668,727,746	110,112,114	682,705,672	97,129,113	315	99	0.700434870043	1.0	0.656,0.671,0.673	0.688,0.632,0.651	0.01
197	"ENSG00000116198"	NA	chr1	-	3828884	3828971	3826707	3826744	3829132	3829373	197	82,77,83	256,228,213	164,169,155	115,127,119	186	99	0	0.0	0.146,0.152,0.172	0.432,0.415,0.409	-0.262
198	"ENSG00000198492"	NA	chr1	+	28739090	28739200	28738258	28738338	28740302	28740398	198	2738,2882,2858	4,1,4	5744,5528,5670	3,0,2	209	99	1	1.0	0.997,0.999,0.997	0.999,1.0,0.999	-0.002
199	"ENSG00000174332"	NA	chr1	-	53509119	53509287	53506236	53506776	53509848	53510027	199	48,48,50	25,25,27	37,47,41	22,18,29	267	99	0.841636976182	1.0	0.416,0.416,0.407	0.384,0.492,0.344	0.006
200	"ENSG00000131238"	NA	chr1	-	40092044	40092507	40091328	40091399	40093932	40094019	200	3215,2988,3105	2,0,0	3039,3078,3134	0,3,2	562	99	1	1.0	0.996,1.0,1.0	1.0,0.994,0.996	0.002
201	"ENSG00000233693"	NA	chr1	-	164769858	164770116	164769115	164769356	164770326	164771577	201	724,745,780	113,120,106	413,411,436	116,97,101	357	99	2.21908475927e-05	0.0001559699573658343	0.64,0.633,0.671	0.497,0.54,0.545	0.121
202	"ENSG00000238272"	NA	chr1	+	173602771	173603231	173555250	173555318	173612623	173612772	202	68,50,40	133,173,166	24,14,32	105,111,144	559	99	0.00142456367999	0.00814982942505907	0.083,0.049,0.041	0.039,0.022,0.038	0.025
204	"ENSG00000158747"	NA	chr1	+	19655323	19655436	19655011	19655200	19656865	19658456	204	1246,1224,1292	0,1,1	2574,2440,2433	0,1,0	212	99	1	1.0	1.0,0.998,0.998	1.0,0.999,1.0	-0.001
205	"ENSG00000286285"	NA	chr1	+	193460117	193460211	193457421	193457750	193461571	193465198	205	5,1,2	4,9,10	2,6,9	6,4,4	193	99	0.0410300180832	0.1506475290816	0.391,0.054,0.093	0.146,0.435,0.536	-0.193
206	"ENSG00000184454"	NA	chr1	+	24595423	24595517	24589463	24589624	24600939	24601024	206	34,37,35	60,68,58	29,34,26	60,77,61	193	99	0.215484318923	0.5761863310332391	0.225,0.218,0.236	0.199,0.185,0.179	0.039
207	"ENSG00000285853"	NA	chr1	+	16520731	16520787	16515033	16516310	16521563	16521788	207	64,76,71	41,23,33	79,88,75	39,30,40	155	99	0.962980980002	1.0	0.499,0.679,0.579	0.564,0.652,0.545	-0.001
208	"ENSG00000290735"	NA	chr1	-	143877730	143880209	143875170	143875309	143884015	143885076	208	1105,1011,1006	280,252,246	1123,978,1015	273,266,248	2578	99	0.889750650595	1.0	0.132,0.133,0.136	0.136,0.124,0.136	0.002
210	"ENSG00000183780"	NA	chr1	+	233905528	233905758	233904675	233905130	234214270	234214574	210	742,757,722	13,9,6	717,758,720	13,14,9	329	99	0.301283578665	0.7640800036246391	0.945,0.962,0.973	0.943,0.942,0.96	0.012
211	"ENSG00000156876"	NA	chr1	-	100102954	100103083	100088138	100088236	100105766	100105903	211	26,30,25	2,6,5	61,58,59	1,2,3	228	99	0.0011830437449	0.006929256220128572	0.85,0.685,0.685	0.964,0.926,0.895	-0.188
212	"ENSG00000162885"	NA	chr1	-	235453089	235453146	235447189	235451374	235454020	235454315	212	177,181,157	205,221,187	183,196,172	173,218,198	156	99	0.353782916991	0.853241152743	0.354,0.342,0.348	0.402,0.363,0.355	-0.025
213	"ENSG00000162706"	NA	chr1	+	159193422	159193560	159192577	159192730	159193869	159194040	213	0,1,0	1,1,4	1,1,4	2,1,2	237	99	0.00168661125041	0.008827795055337448	0.0,0.295,0.0	0.173,0.295,0.455	-0.209
214	"ENSG00000283360"	NA	chr1	-	161427825	161428019	161420222	161420399	161470469	161470523	214	11,12,18	0,0,1	15,15,11	0,1,0	293	99	1	1.0	1.0,1.0,0.859	1.0,0.835,1.0	0.008
215	"ENSG00000204624"	NA	chr1	+	11534380	11534540	11533675	11533827	11535010	11535124	215	64,42,47	0,0,0	121,79,83	1,0,0	259	99	1	1.0	1.0,1.0,1.0	0.979,1.0,1.0	0.007
216	"ENSG00000226640"	NA	chr1	+	193725600	193725685	193678893	193679005	193726831	193727035	216	30,14,12	88,129,88	8,14,28	176,150,185	184	99	0.00656981669837	0.02992916495924111	0.155,0.055,0.068	0.024,0.048,0.075	0.044
217	"ENSG00000122482"	NA	chr1	-	90972743	90973213	90938271	90941309	90982309	90982370	217	2973,2977,2833	1,1,1	2943,2944,2902	2,0,0	569	99	1	1.0	0.998,0.998,0.998	0.996,1.0,1.0	-0.001
218	"ENSG00000000971"	NA	chr1	+	196672977	196675913	196672205	196672259	196675988	196676065	218	1055,1085,1258	2,0,1	2374,2429,2192	0,0,0	3035	99	0.700544169242	1.0	0.945,1.0,0.976	1.0,1.0,1.0	-0.026
219	"ENSG00000116857"	NA	chr1	-	201151760	201151852	201146739	201146869	201153782	201154501	219	714,708,692	21,17,13	1484,1548,1467	6,6,12	191	99	2.10172856896e-09	2.4620248950674282e-08	0.946,0.956,0.965	0.992,0.993,0.984	-0.034
220	"ENSG00000153207"	NA	chr1	-	246889965	246890059	246888393	246888517	246890955	246891060	220	4,1,6	18,21,25	7,2,0	13,9,5	193	99	0.414253084308	0.9435764698126667	0.102,0.024,0.11	0.216,0.102,0.0	-0.027
222	"ENSG00000198837"	NA	chr1	-	153937723	153937863	153937487	153937614	153938899	153939045	222	54,67,61	37,45,37	75,79,78	29,48,39	239	99	0.149434690733	0.4338227241474353	0.377,0.381,0.406	0.517,0.405,0.453	-0.07
223	"ENSG00000229846"	NA	chr1	+	49048306	49048413	49025594	49025665	49174811	49175082	223	3,3,3	11,8,15	1,0,3	5,18,14	206	99	0.05000018887	0.17571494945742855	0.116,0.153,0.088	0.088,0.0,0.093	0.059
224	"ENSG00000230424"	NA	chr1	+	19213621	19213719	19210347	19210559	19240256	19240709	224	1,1,0	13,5,2	1,0,1	6,11,2	197	99	1	1.0	0.037,0.091,0.0	0.077,0.0,0.201	-0.05
225	"ENSG00000225919"	NA	chr1	+	232718669	232718888	232718070	232718092	232722119	232722250	225	663,685,758	9,2,3	324,418,369	9,10,3	318	99	0.00178642147039	0.00915541003574875	0.958,0.991,0.987	0.918,0.929,0.975	0.038
226	"ENSG00000237463"	NA	chr1	-	165575282	165575369	165574017	165574088	165581354	165582155	226	232,253,236	14,11,12	134,98,129	32,30,34	186	99	1.33226762955e-15	3.2773783686929994e-14	0.898,0.924,0.913	0.69,0.635,0.669	0.247
227	"ENSG00000094975"	NA	chr1	+	172557643	172557794	172557279	172557417	172569018	172569142	227	93,96,104	28,22,23	77,77,86	25,20,23	250	99	0.533413892768	1.0	0.568,0.633,0.642	0.549,0.604,0.597	0.031
228	"ENSG00000225077"	NA	chr1	+	6236239	6236336	6234691	6235063	6236965	6237150	228	1,2,3	36,35,29	2,1,3	51,38,32	196	99	0.853654980422	1.0	0.014,0.028,0.05	0.019,0.013,0.045	0.005
229	"ENSG00000226374"	NA	chr1	-	3947143	3947328	3946319	3946463	3947956	3949024	229	0,1,3	0,2,0	0,5,1	3,1,1	284	99	1	1.0	NA,0.148,1.0	0.0,0.635,0.258	0.276
230	"ENSG00000283342"	NA	chr1	-	147113441	147113612	147110795	147110847	147114219	147114271	230	2,1,6	1674,1647,1684	2,0,4	1639,1548,1640	270	99	1	1.0	0.0,0.0,0.001	0.0,0.0,0.001	0.0
231	"ENSG00000143434"	NA	chr1	-	151137985	151138105	151137710	151137799	151138315	151138406	231	186,186,177	4470,4560,4503	156,163,168	4653,4562,4744	219	99	0.159837214353	0.45195350265331036	0.018,0.018,0.017	0.015,0.016,0.016	0.002
233	"ENSG00000143158"	NA	chr1	-	167935732	167936040	167924496	167924537	167936532	167936805	233	389,393,356	1143,1093,1101	360,422,394	1067,1179,1183	407	99	0.965287254704	1.0	0.076,0.08,0.073	0.076,0.08,0.075	-0.001
234	"ENSG00000158315"	NA	chr1	-	38918966	38919337	38915502	38915710	38925953	38926837	234	124,116,100	2,1,3	286,253,233	0,1,0	470	99	0.0211799135625	0.0854140776454918	0.929,0.961,0.875	1.0,0.982,1.0	-0.072
235	"ENSG00000118200"	NA	chr1	+	200815560	200815644	200807375	200807537	200828572	200828605	235	6278,6305,6247	73,84,87	12481,12377,12563	48,53,50	183	99	4.32986979604e-15	9.683163362053089e-14	0.979,0.976,0.975	0.993,0.992,0.993	-0.016
236	"ENSG00000259357"	NA	chr1	+	150965831	150965963	150965244	150965764	150966130	150966256	236	8939,8857,9226	3,1,2	8999,8965,9060	2,3,0	231	99	1	1.0	0.999,1.0,0.999	0.999,0.999,1.0	0.0
237	"ENSG00000008130"	NA	chr1	-	1761664	1762035	1759733	1759902	1765227	1765446	237	9614,9391,9418	26288,26081,26194	9596,9496,9358	26014,26256,26034	470	99	0.973421037024	1.0	0.072,0.07,0.07	0.072,0.071,0.07	-0.0
238	"ENSG00000179452"	NA	chr1	+	181237631	181237737	181236387	181236505	181238569	181238604	238	2,9,6	7,1,8	14,7,6	1,1,11	205	99	0.215263902816	0.5761863310332391	0.121,0.813,0.266	0.871,0.772,0.208	-0.217
239	"ENSG00000142794"	NA	chr1	+	21446036	21446482	21444943	21445219	21449790	21449888	239	5,2,8	2,7,2	7,6,6	0,1,3	545	99	0.0847506125655	0.2707616972871818	0.312,0.049,0.421	1.0,0.522,0.266	-0.335
240	"ENSG00000230489"	NA	chr1	+	107993504	107993635	107964442	107964504	107994181	107994607	240	196,232,171	832,798,823	144,218,168	950,819,863	230	99	0.0671535087795	0.2262981254761233	0.092,0.111,0.082	0.061,0.103,0.077	0.015
241	"ENSG00000158864"	NA	chr1	+	161209482	161213475	161209192	161209313	161213648	161214723	241	16386,16205,15883	1,3,1	15996,16161,16433	4,2,4	4092	99	1	1.0	0.997,0.992,0.997	0.99,0.995,0.99	0.004
242	"ENSG00000238042"	NA	chr1	-	221913647	221913858	221883799	221883888	221914422	221914531	242	4,18,22	13,34,34	36,28,11	23,26,31	310	99	0.0884090741617	0.2752991423263063	0.089,0.145,0.171	0.333,0.256,0.102	-0.095
243	"ENSG00000154305"	NA	chr1	+	222632164	222632326	222627574	222630389	222633103	222633249	243	29,28,34	1,2,1	31,37,28	2,2,0	261	99	0.621675732789	1.0	0.917,0.842,0.928	0.855,0.875,1.0	-0.014
244	"ENSG00000162551"	NA	chr1	+	21576521	21576641	21575732	21575924	21577382	21578410	244	0,6,8	39,38,50	9,5,6	19,25,22	219	99	0.00920348056541	0.04116465852892473	0.0,0.067,0.067	0.176,0.083,0.11	-0.078
245	"ENSG00000143196"	NA	chr1	-	168714220	168714346	168701016	168701124	168728869	168729206	245	0,1,0	62,83,83	1,1,2	47,38,34	225	99	1	1.0	0.0,0.005,0.0	0.009,0.011,0.025	-0.013
246	"ENSG00000117500"	NA	chr1	-	93158814	93158885	93156035	93156483	93160128	93163210	246	153,138,153	272,238,276	325,308,337	138,145,120	170	99	0	0.0	0.247,0.252,0.244	0.578,0.553,0.621	-0.336
247	"ENSG00000272030"	NA	chr1	-	153633957	153634110	153633035	153633157	153634213	153634397	247	21,36,32	10,5,3	30,16,26	7,6,17	252	99	0.11233887962	0.33701663886	0.452,0.739,0.807	0.627,0.512,0.375	0.161
248	"ENSG00000228863"	NA	chr1	+	160686608	160686693	160684954	160685101	160691694	160692240	248	116,117,157	5,7,7	143,126,118	5,7,13	184	99	0.371851889124	0.878962919412849	0.926,0.9,0.923	0.939,0.906,0.83	0.025
249	"ENSG00000186409"	NA	chr1	+	42581359	42581514	42580831	42580981	42589320	42595573	249	254,261,256	0,0,0	256,205,249	1,1,0	254	99	1	1.0	1.0,1.0,1.0	0.99,0.988,1.0	0.007
250	"ENSG00000155761"	NA	chr1	-	118023303	118023463	118015964	118016182	118025237	118025416	250	0,0,0	14,20,11	0,1,0	13,17,12	259	99	1	1.0	0.0,0.0,0.0	0.0,0.022,0.0	-0.007
251	"ENSG00000159166"	NA	chr1	-	201389159	201389303	201386334	201387178	201391077	201391195	251	2790,2735,2751	0,3,1	2794,2540,2432	2,1,3	243	99	1	1.0	1.0,0.997,0.999	0.998,0.999,0.997	0.001
252	"ENSG00000229407"	NA	chr1	-	179817367	179817424	179816183	179816527	179817991	179818191	252	1,1,1	4,2,11	2,1,9	0,8,11	156	99	0.0222889883051	0.08843695359765484	0.137,0.241,0.055	1.0,0.073,0.342	-0.327
253	"ENSG00000198400"	NA	chr1	+	156865071	156865920	156864727	156865063	156866909	156866978	253	150,153,183	29,28,28	302,334,347	14,13,13	948	99	1.12854170453e-12	1.9830089951027145e-11	0.351,0.363,0.406	0.693,0.728,0.736	-0.346
254	"ENSG00000180869"	NA	chr1	-	84631609	84631746	84628229	84630887	84634931	84635020	254	167,138,166	3,5,3	143,112,129	4,2,3	236	99	0.938257355028	1.0	0.959,0.92,0.959	0.937,0.959,0.947	-0.002
255	"ENSG00000232456"	NA	chr1	-	16036235	16036346	16035177	16035458	16036611	16036793	255	43,55,46	156,179,197	39,25,31	190,236,164	210	99	0.0016475929273	0.0088110404373	0.115,0.127,0.099	0.088,0.048,0.082	0.041
256	"ENSG00000236292"	NA	chr1	+	216195742	216195925	216194050	216194229	216204029	216204366	256	16,18,5	128,112,99	7,6,16	108,106,124	282	99	0.257342608332	0.66115048841875	0.042,0.053,0.017	0.022,0.019,0.043	0.009
257	"ENSG00000180758"	NA	chr1	-	9111168	9111489	9105485	9105680	9128644	9129102	257	17,20,28	3570,3459,3470	53,48,60	1784,1750,1743	420	99	1	1.0	0.001,0.001,0.002	0.007,0.006,0.008	-0.006
