Event_Type	Gene_Name	Gene_Id	PSI_1	PSI_2	PSI_3	DSE	p_value	dPSI	sample_pair	ASE
AL	ZNF880	ENSG00000221923.9	0.360751305	0.35281639	0.391252661	Non-DSE	0.466246509	0.014143824	D5/D6	ENSG00000221923;AL:19:52374427-52379421:52380075:52374427-52383849:52385795:+
SE	HSF2	ENSG00000025156.13	0.583623324	0.584194757	0.596992476	Non-DSE	0.736621364	-0.006158414	D5/D6	ENSG00000025156;SE:6:122423686-122427903:122427956-122431430:+
SE	IVNS1ABP	ENSG00000116679.16	0.571735746	0.553701918	0.574784964	Non-DSE	0.199412574	0.13783194	D5/D6	ENSG00000116679;SE:1:185305643-185306485:185306625-185307014:-
SE	RIPK2	ENSG00000104312.8	0.785564962	0.827501908	0.784217417	up-regulate	0.038463891	0.106024261	D5/D6	ENSG00000104312;SE:8:89758233-89762829:89762982-89765341:+
SE	IFT46	ENSG00000118096.10	0.082857838	0.075653259	0.102045837	Non-DSE	0.000835342	-0.027387607	D5/D6	ENSG00000118096;SE:11:118557045-118557738:118557890-118559785:-
MX	PRR3	ENSG00000204576.12	0.293929879	0.30675294	0.305349008	Non-DSE	0.516297213	-0.043852367	D5/D6	ENSG00000204576;MX:6:30557450-30558150:30558212-30561834:30557450-30561328:30561508-30561834:+
MX	NCF2	ENSG00000116701.16	0.053032668	0.055735542	0.077067752	Non-DSE	4.11437E-05	-0.032699	D5/D6	ENSG00000116701;MX:1:183570839-183573185:183573292-183577599:183570839-183574487:183574621-183577599:-
MX	RAB28	ENSG00000157869.16	0.701247683	0.747845195	0.749348276	down-regulate	0.002810216	-0.052383549	D5/D6	ENSG00000157869;MX:4:13368650-13369871:13369965-13376545:13368650-13371795:13371867-13376545:-
MX	COA1	ENSG00000106603.20	0.308695415	0.306740008	0.403711636	Non-DSE	-0.043079058	-0.120876513	D5/D6	ENSG00000106603;MX:7:43648652-43650493:43650712-43729429:43648652-43665658:43665722-43729429:-
A3	OSR2	ENSG00000164920.10	0.378921083	0.433728329	0.41219661	up-regulate	0.009207885	0.067157846	D5/D6	ENSG00000164920;A3:8:98950755-98951519:98950755-98951601:+
A3	ALKBH2	ENSG00000189046.11	0.816902199	0.818811766	0.842365926	Non-DSE	0.000750102	-0.01556357	D5/D6	ENSG00000189046;A3:12:109092937-109093247:109092787-109093247:-
A5	MTFR2	ENSG00000146410.12	0.237635298	0.283337569	0.293636656	Non-DSE	0.036097405	-0.040546437	D5/D6	ENSG00000146410;A5:6:136249153-136249976:136249153-136250264:-
A5	HBP1	ENSG00000105856.14	0.398168322	0.363926285	0.496397743	Non-DSE	0.082335661	-0.00064623	D5/D6	ENSG00000105856;A5:7:107169185-107179879:107169027-107179879:+
AF	TFEB	ENSG00000112486.18	0.921061311	0.927904583	0.929863978	Non-DSE	0.000200326	-0.00914936	D5/D6	ENSG00000112561;AF:6:41691235-41705647:41705940:41691235-41723461:41723726:-
AF	IDH1	ENSG00000138413.14	0.372752572	0.397527276	0.414451287	Non-DSE	5.41541E-06	-0.004653224	D5/D6	ENSG00000138413;AF:2:208253959-208254031:208254322:208253959-208254343:208254458:-
AF	EIF5A	ENSG00000132507.18	0.457338543	0.434027737	0.490566474	down-regulate	0.001000698	-0.125989927	D5/D6	ENSG00000132507;AF:17:7306999:7307115-7309615:7308371:7308575-7309615:+
AL	ZFP41	ENSG00000181638.20	0.064803427	0.057252458	0.064398786	Non-DSE	0.012067832	0.007856634	D5/D6	ENSG00000181638;A5:8:143247749-143249690:143247142-143249690:+
AL	ARMC7	ENSG00000125449.7	0.255409329	0.248618795	0.267678379	Non-DSE	0.009762412	0.004572133	D5/D6	ENSG00000125449;AL:17:75110606-75114169:75114826:75110606-75128677:75130272:+
A5	XRCC4	ENSG00000152422.16	0.008109535	0.009919191	0.007390297	Non-DSE	0.020176315	-0.002402704	D5/D6	ENSG00000152422;A5:5:83077662-83104910:83077615-83104910:+
SE	IKBIP	ENSG00000166130.15	0.740374063	0.751926368	0.767387759	Non-DSE	0.059245198	0.033622577	D5/D6	ENSG00000166130;SE:12:98614340-98634296:98634413-98644523:-
SE	C1orf43	ENSG00000143612.21	0.358828215	0.363598581	0.347476439	Non-DSE	0.044858489	-0.026965351	D5/D6	ENSG00000143612;SE:1:154214574-154219836:154219937-154220342:-
SE	FCGR2B	ENSG00000072694.22	0.886081168	0.878962517	0.899359148	Non-DSE	0.031670381	0.036776819	D5/D6	ENSG00000072694;SE:1:161674073-161675257:161675313-161677328:+
SE	CIAO2A	ENSG00000166797.11	0.35333821	0.397883229	0.384324715	Non-DSE	0.040920438	0.007334497	D5/D6	ENSG00000166797;SE:15:64075537-64081102:64081151-64088687:-
SE	THEM4	ENSG00000159445.13	0.358038365	0.354237419	0.356660257	Non-DSE	0.075798549	-0.067280051	D5/D6	ENSG00000159445;SE:1:151889373-151889983:151890214-151895008:-
SE	ZNF35	ENSG00000169981.11	0.590007697		0.541655292	Non-DSE	0.894138359	0.079698225	D5/D6	ENSG00000169981;SE:3:44651259-44652557:44652701-44658701:+
AF	SNAPC2	ENSG00000104976.13	0.649435951	0.642519963		up-regulate	0.030712368	0.179242188	D5/D6	ENSG00000104976;AF:19:7920338:7920549-7921423:7921015:7921119-7921423:+
AF	FBXO5	ENSG00000112029.10		0.88722118	0.937983268	up-regulate	0.026391231	0.442555744	D5/D6	ENSG00000112029;AF:6:152975621-152982857:152983041:152975621-152983234:152983579:-
AL	TPGS2	ENSG00000134779.15	0.00014681	5.08404E-05	0.000147686	Non-DSE	0.016189177	-0.000315084	D5/D6	ENSG00000134779;AL:18:36777647:36780188-36798449:36786573:36787079-36798449:-
SE	TMEM263	ENSG00000151135.10	0.001579634	0.001736561	0.001914221	Non-DSE	0.08315321	-0.004796302	D5/D6	ENSG00000151135;SE:12:106956065-106957082:106957149-106967111:+
A3	OAS1	ENSG00000089127.15	0.191473557	0.20322397	0.176598909	up-regulate	0.060137928	0.064742363	D5/D6	ENSG00000089127;A3:12:112917700-112918597:112917700-112919389:+
SE	EIF4H	ENSG00000106682.16	0.024203793	0.025017052	0.027220917	Non-DSE	2.344E-06	-0.018534433	D5/D6	ENSG00000106682;SE:7:74189918-74190247:74190306-74194741:+
SE	CD200	ENSG00000091972.18	0.154060285	0.160688187	0.173113229	Non-DSE	1.0025E-05	-0.014349179	D5/D6	ENSG00000091972;A3:3:112345288-112347558:112345288-112347563:+
SE	C1orf52	ENSG00000162642.14	0.510673459	0.508279058	0.507465193	down-regulate	2.10697E-05	-0.069865948	D5/D6	ENSG00000162642;SE:1:85258722-85258935:85259061-85259358:-
SE	FZD3	ENSG00000104290.11	0.343031845	0.327453	0.369299561	Non-DSE	0.479679499	-0.048147438	D5/D6	ENSG00000104290;SE:8:28494343-28499933:28499978-28502670:+
SE	HNRNPAB	ENSG00000197451.12	0.349828772	0.34486444	0.436058934	Non-DSE	0.009128776	-0.020288808	D5/D6	ENSG00000197451;SE:5:178209447-178210132:178210272-178210553:+
